id,List_of_items,number_of_items_per_type,total_number_of_items,store_id,operator_id,city_id
119,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[55, 39, 83, 32, 57, 67, 42, 52, 77, 62]",566,119,2,16
120,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[62, 87, 74, 61, 68, 13, 59, 10, 72, 77]",583,120,2,16
121,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[72, 56, 76, 91, 30, 45, 60, 36, 23, 25]",514,121,2,23
122,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[50, 62, 79, 51, 27, 25, 38, 13, 19, 26]",390,122,2,23
123,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[53, 10, 51, 16, 13, 96, 31, 40, 61, 52]",423,123,2,23
124,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[95, 82, 62, 94, 52, 41, 88, 13, 79, 18]",624,124,2,23
125,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 38, 83, 67, 60, 28, 50, 98, 98, 23]",556,125,2,23
126,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[77, 85, 17, 27, 83, 20, 47, 77, 79, 21]",533,126,2,23
127,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[43, 29, 63, 36, 93, 71, 24, 69, 97, 52]",577,127,2,23
128,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[41, 16, 31, 26, 50, 31, 94, 82, 77, 53]",501,128,2,23
129,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[100, 13, 67, 70, 28, 72, 38, 51, 55, 30]",524,129,2,23
130,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[26, 86, 96, 37, 20, 53, 27, 24, 33, 64]",466,130,2,23
131,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[69, 37, 85, 67, 44, 65, 70, 27, 15, 37]",516,131,2,10
132,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[38, 88, 53, 29, 54, 42, 55, 30, 88, 20]",497,132,2,10
133,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[41, 70, 18, 28, 12, 30, 91, 64, 77, 70]",501,133,2,10
134,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[68, 45, 87, 35, 72, 69, 53, 94, 52, 43]",618,134,2,10
135,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[86, 88, 15, 77, 67, 91, 78, 29, 35, 70]",636,135,2,10
136,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[45, 33, 98, 69, 52, 56, 73, 78, 98, 78]",680,136,2,10
137,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[22, 90, 89, 56, 91, 67, 71, 21, 45, 52]",604,137,2,10
138,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[79, 59, 61, 25, 74, 26, 13, 65, 44, 67]",513,138,2,10
139,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[57, 99, 44, 97, 20, 46, 61, 10, 47, 83]",564,139,2,10
140,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[21, 91, 32, 91, 94, 17, 73, 45, 10, 49]",523,140,2,10
141,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[54, 92, 96, 31, 75, 61, 14, 69, 26, 15]",533,141,2,1
142,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[72, 20, 23, 50, 83, 72, 15, 85, 41, 29]",490,142,2,1
143,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[88, 93, 20, 82, 40, 30, 62, 56, 50, 71]",592,143,2,1
144,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[26, 11, 26, 22, 88, 50, 89, 26, 54, 84]",476,144,2,1
145,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[60, 39, 48, 52, 71, 30, 25, 89, 17, 16]",447,145,2,1
146,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[49, 81, 21, 96, 29, 85, 54, 90, 18, 56]",579,146,2,1
147,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[31, 44, 61, 99, 58, 48, 51, 45, 48, 80]",565,147,2,1
148,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[97, 48, 77, 62, 88, 61, 72, 94, 26, 47]",672,148,2,1
149,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[57, 17, 14, 93, 34, 53, 71, 79, 62, 84]",564,149,2,1
150,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[87, 28, 92, 36, 10, 78, 100, 91, 25, 45]",592,150,2,1
151,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[18, 17, 33, 58, 98, 28, 64, 14, 100, 100]",530,151,2,6
152,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[86, 78, 33, 52, 37, 84, 71, 68, 58, 41]",608,152,2,6
153,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[46, 77, 22, 17, 13, 39, 59, 99, 99, 39]",510,153,2,6
154,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[86, 24, 25, 97, 60, 95, 12, 22, 15, 71]",507,154,2,6
155,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[85, 47, 62, 98, 11, 54, 20, 18, 72, 49]",516,155,2,6
156,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[22, 53, 56, 15, 44, 54, 26, 15, 77, 84]",446,156,2,6
157,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[77, 81, 73, 62, 85, 27, 28, 78, 39, 86]",636,157,2,6
158,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[94, 23, 58, 80, 94, 24, 48, 52, 88, 52]",613,158,2,6
159,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[54, 28, 49, 64, 58, 29, 13, 40, 57, 94]",486,159,2,6
160,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[99, 41, 77, 53, 45, 25, 58, 32, 29, 41]",500,160,2,6
161,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[33, 22, 33, 80, 56, 70, 49, 64, 42, 68]",517,161,2,18
162,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[73, 100, 34, 52, 85, 99, 26, 50, 78, 49]",646,162,2,18
163,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[63, 29, 70, 79, 81, 24, 23, 45, 59, 69]",542,163,2,18
164,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[31, 30, 81, 10, 42, 29, 92, 80, 22, 60]",477,164,2,18
165,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[86, 62, 43, 10, 77, 97, 96, 35, 14, 71]",591,165,2,18
166,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[64, 50, 30, 31, 41, 93, 13, 54, 68, 22]",466,166,2,18
167,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[85, 100, 94, 63, 48, 12, 31, 92, 93, 38]",656,167,2,18
168,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[82, 60, 63, 69, 33, 36, 30, 28, 95, 51]",547,168,2,18
169,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[50, 37, 63, 100, 77, 48, 33, 50, 99, 18]",575,169,2,18
170,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[64, 34, 83, 50, 96, 69, 46, 88, 17, 67]",614,170,2,18
171,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[10, 70, 100, 12, 54, 12, 76, 92, 87, 13]",526,171,2,25
172,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[80, 85, 22, 33, 64, 72, 18, 21, 87, 65]",547,172,2,25
173,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[56, 89, 79, 98, 87, 34, 29, 39, 45, 47]",603,173,2,25
174,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[80, 69, 58, 84, 56, 35, 15, 73, 82, 14]",566,174,2,25
175,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[90, 76, 87, 16, 90, 13, 89, 14, 11, 77]",563,175,2,25
176,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[95, 93, 19, 68, 35, 40, 29, 60, 56, 70]",565,176,2,25
177,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[36, 86, 17, 94, 28, 93, 79, 69, 27, 74]",603,177,2,25
178,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[92, 43, 73, 10, 37, 22, 32, 45, 90, 13]",457,178,2,25
179,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[23, 31, 34, 46, 50, 81, 65, 61, 51, 26]",468,179,2,25
180,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[39, 38, 35, 39, 64, 40, 92, 11, 23, 95]",476,180,2,25
181,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[69, 75, 77, 68, 71, 77, 36, 50, 14, 71]",608,181,2,13
182,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[10, 21, 43, 78, 19, 64, 78, 19, 90, 11]",433,182,2,13
183,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[86, 32, 78, 99, 60, 14, 68, 56, 45, 19]",557,183,2,13
184,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[46, 22, 81, 55, 57, 32, 81, 92, 96, 44]",606,184,2,13
185,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[98, 72, 82, 85, 28, 44, 49, 86, 24, 33]",601,185,2,13
186,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[39, 91, 78, 94, 29, 54, 49, 39, 20, 92]",585,186,2,13
187,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[34, 63, 86, 91, 27, 24, 94, 13, 37, 96]",565,187,2,13
188,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[67, 88, 53, 82, 30, 60, 32, 56, 27, 48]",543,188,2,13
189,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[25, 49, 60, 23, 82, 62, 45, 75, 44, 48]",513,189,2,13
190,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[18, 72, 79, 91, 81, 95, 50, 37, 16, 93]",632,190,2,13
