id,List_of_items,number_of_items_per_type,total_number_of_items,store_id,operator_id,city_id
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[24, 47, 24, 39, 31, 85, 65, 75, 84, 66]",540,14,1,13
15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[21, 58, 53, 32, 27, 32, 87, 25, 83, 12]",430,15,1,13
16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[48, 56, 88, 38, 12, 87, 99, 39, 99, 77]",643,16,1,13
17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[21, 92, 85, 37, 32, 51, 30, 77, 61, 46]",532,17,1,13
18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[21, 77, 94, 94, 92, 98, 34, 22, 18, 82]",632,18,1,13
19,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[63, 65, 74, 64, 21, 13, 42, 28, 14, 26]",410,19,1,13
20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[31, 95, 50, 52, 86, 70, 61, 20, 87, 27]",579,20,1,13
21,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[37, 17, 17, 36, 73, 38, 35, 43, 67, 25]",388,21,1,5
22,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[60, 49, 68, 28, 29, 18, 81, 17, 26, 12]",388,22,1,5
23,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[98, 93, 45, 76, 63, 41, 66, 82, 32, 97]",693,23,1,5
24,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[20, 25, 35, 86, 19, 74, 55, 66, 54, 89]",523,24,1,5
25,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[17, 40, 63, 88, 73, 77, 68, 97, 28, 83]",634,25,1,5
26,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[25, 91, 99, 46, 38, 72, 86, 65, 10, 80]",612,26,1,5
27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[43, 62, 44, 26, 48, 26, 72, 52, 26, 47]",446,27,1,5
28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[96, 87, 27, 24, 85, 51, 37, 11, 89, 22]",529,28,1,5
29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[54, 54, 40, 31, 22, 46, 22, 29, 10, 19]",327,29,1,5
30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[67, 90, 50, 16, 61, 48, 90, 83, 88, 30]",623,30,1,5
31,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[91, 14, 36, 16, 72, 100, 16, 76, 71, 94]",586,31,1,49
32,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[90, 80, 87, 51, 23, 54, 29, 32, 98, 55]",599,32,1,49
33,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[12, 43, 85, 54, 32, 81, 45, 42, 11, 34]",439,33,1,49
34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[59, 35, 25, 55, 65, 78, 32, 34, 47, 76]",506,34,1,49
35,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[46, 31, 32, 46, 63, 67, 29, 84, 10, 90]",498,35,1,49
36,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[51, 91, 54, 51, 98, 83, 78, 64, 86, 58]",714,36,1,49
37,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[73, 93, 54, 47, 15, 58, 83, 53, 67, 67]",610,37,1,49
38,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[84, 40, 52, 94, 20, 18, 96, 88, 45, 84]",621,38,1,49
39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[38, 92, 100, 45, 31, 46, 91, 59, 92, 72]",666,39,1,49
40,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[41, 64, 37, 26, 47, 87, 24, 47, 89, 77]",539,40,1,49
41,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[24, 54, 17, 40, 95, 50, 43, 94, 72, 30]",519,41,1,28
42,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[14, 45, 19, 51, 46, 22, 59, 50, 87, 79]",472,42,1,28
43,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[32, 61, 10, 80, 40, 99, 92, 43, 68, 100]",625,43,1,28
44,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[94, 59, 43, 95, 15, 88, 97, 41, 52, 23]",607,44,1,28
45,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[80, 50, 50, 26, 10, 39, 26, 100, 24, 86]",491,45,1,28
46,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[67, 48, 60, 35, 60, 16, 59, 17, 28, 64]",454,46,1,28
47,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[49, 70, 18, 45, 81, 62, 72, 51, 80, 31]",559,47,1,28
48,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[91, 61, 43, 16, 28, 84, 81, 48, 73, 18]",543,48,1,28
49,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[46, 72, 63, 38, 85, 76, 21, 93, 27, 22]",543,49,1,28
50,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[10, 90, 62, 95, 74, 11, 35, 90, 33, 90]",590,50,1,28
51,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[38, 51, 47, 28, 82, 66, 49, 30, 82, 40]",513,51,1,33
52,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[69, 23, 49, 96, 91, 23, 95, 35, 30, 80]",591,52,1,33
53,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[19, 97, 87, 33, 43, 71, 29, 34, 68, 81]",562,53,1,33
54,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[58, 60, 32, 16, 40, 85, 91, 49, 47, 21]",499,54,1,33
55,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[55, 14, 28, 19, 27, 71, 43, 15, 43, 62]",377,55,1,33
56,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[83, 63, 22, 36, 22, 50, 46, 11, 61, 78]",472,56,1,33
57,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[79, 24, 70, 86, 11, 79, 41, 37, 89, 26]",542,57,1,33
58,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[70, 95, 91, 76, 21, 44, 77, 85, 25, 98]",682,58,1,33
59,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[32, 68, 94, 16, 38, 24, 100, 22, 95, 76]",565,59,1,33
60,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[47, 76, 62, 82, 100, 45, 34, 85, 44, 80]",655,60,1,33
61,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[33, 82, 37, 68, 10, 57, 72, 14, 87, 82]",542,61,1,34
62,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 69, 20, 23, 90, 75, 70, 30, 57, 26]",471,62,1,34
63,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[56, 67, 49, 62, 61, 12, 34, 98, 61, 14]",514,63,1,34
64,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[48, 19, 16, 58, 61, 48, 35, 14, 89, 74]",462,64,1,34
65,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[71, 33, 45, 56, 18, 96, 42, 94, 69, 47]",571,65,1,34
66,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 35, 17, 45, 38, 50, 43, 56, 87, 19]",401,66,1,34
67,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[10, 93, 99, 20, 71, 67, 68, 37, 87, 98]",650,67,1,34
68,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[31, 17, 94, 46, 34, 28, 64, 33, 16, 22]",385,68,1,34
69,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[32, 19, 36, 46, 28, 68, 38, 93, 78, 34]",472,69,1,34
70,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[45, 30, 65, 44, 30, 36, 12, 66, 69, 10]",407,70,1,34
71,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[89, 48, 99, 92, 34, 37, 96, 64, 49, 92]",700,71,1,35
72,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[79, 65, 96, 12, 84, 14, 64, 34, 20, 99]",567,72,1,35
73,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[40, 85, 96, 96, 89, 84, 43, 18, 15, 42]",608,73,1,35
74,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[41, 51, 42, 62, 14, 55, 14, 99, 83, 86]",547,74,1,35
75,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[82, 50, 24, 41, 27, 49, 58, 86, 62, 26]",505,75,1,35
76,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[16, 38, 31, 18, 71, 36, 79, 77, 19, 55]",440,76,1,35
77,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[14, 41, 43, 44, 47, 38, 84, 93, 84, 31]",519,77,1,35
78,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[29, 27, 16, 78, 80, 36, 42, 85, 97, 87]",577,78,1,35
79,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[85, 61, 24, 11, 57, 11, 55, 29, 95, 67]",495,79,1,35
80,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[38, 42, 72, 89, 73, 48, 70, 24, 87, 79]",622,80,1,35
81,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[69, 93, 77, 64, 47, 31, 12, 38, 66, 81]",578,81,1,1
82,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[13, 86, 81, 63, 56, 35, 92, 87, 99, 87]",699,82,1,1
83,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[86, 82, 63, 45, 91, 60, 58, 30, 57, 15]",587,83,1,1
84,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[56, 51, 36, 36, 61, 38, 27, 95, 64, 93]",557,84,1,1
85,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[26, 66, 30, 66, 56, 14, 12, 32, 68, 94]",464,85,1,1
86,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[40, 89, 34, 27, 13, 10, 79, 94, 88, 38]",512,86,1,1
87,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[90, 45, 67, 58, 43, 40, 13, 77, 45, 47]",525,87,1,1
88,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[88, 48, 15, 64, 88, 69, 16, 100, 87, 32]",607,88,1,1
89,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[66, 57, 44, 51, 67, 38, 79, 47, 12, 70]",531,89,1,1
90,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[33, 20, 84, 28, 34, 66, 14, 30, 96, 74]",479,90,1,1
91,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[73, 83, 97, 94, 44, 74, 74, 63, 46, 66]",714,91,1,9
92,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[86, 54, 12, 47, 46, 67, 60, 47, 99, 86]",604,92,1,9
93,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[77, 22, 33, 14, 83, 28, 93, 11, 84, 73]",518,93,1,9
94,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[26, 13, 56, 44, 79, 96, 95, 73, 38, 41]",561,94,1,9
95,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[33, 74, 44, 39, 51, 29, 79, 96, 81, 86]",612,95,1,9
96,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[49, 40, 25, 40, 36, 46, 15, 83, 75, 16]",425,96,1,9
97,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[92, 60, 46, 85, 88, 49, 60, 98, 87, 35]",700,97,1,9
98,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[73, 32, 32, 13, 30, 83, 14, 47, 91, 98]",513,98,1,9
99,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[41, 88, 98, 72, 27, 12, 46, 51, 28, 54]",517,99,1,9
100,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[15, 27, 35, 48, 16, 11, 41, 86, 33, 14]",326,100,1,9
101,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[64, 73, 49, 72, 41, 82, 87, 36, 34, 50]",588,101,2,13
102,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[61, 63, 97, 98, 98, 74, 79, 82, 57, 100]",809,102,2,13
103,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[60, 61, 89, 79, 43, 32, 42, 70, 88, 75]",639,103,2,13
104,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[17, 58, 70, 44, 91, 77, 35, 83, 20, 92]",587,104,2,13
105,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[41, 77, 77, 12, 35, 10, 94, 12, 51, 51]",460,105,2,13
106,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[92, 94, 87, 44, 62, 59, 78, 38, 50, 17]",621,106,2,13
107,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[92, 68, 75, 96, 53, 36, 20, 39, 44, 31]",554,107,2,13
108,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[93, 32, 16, 77, 80, 88, 92, 19, 45, 41]",583,108,2,13
109,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[41, 19, 93, 31, 68, 82, 84, 97, 62, 80]",657,109,2,13
110,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[32, 75, 27, 50, 92, 15, 33, 24, 20, 89]",457,110,2,13
111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[75, 82, 93, 93, 82, 22, 96, 54, 76, 49]",722,111,2,20
112,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[36, 99, 82, 48, 66, 70, 60, 82, 20, 43]",606,112,2,20
113,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[68, 24, 98, 51, 16, 31, 55, 56, 98, 82]",579,113,2,20
114,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[88, 63, 57, 18, 16, 19, 66, 63, 90, 54]",534,114,2,20
115,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[70, 40, 92, 76, 51, 21, 22, 43, 89, 11]",515,115,2,20
116,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[78, 38, 43, 46, 91, 53, 68, 87, 89, 19]",612,116,2,20
117,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[61, 69, 81, 17, 19, 57, 76, 68, 73, 26]",547,117,2,20
118,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[73, 47, 13, 22, 98, 19, 66, 95, 55, 58]",546,118,2,20
119,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[14, 56, 42, 23, 26, 11, 83, 40, 44, 38]",377,119,2,20
120,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[30, 25, 15, 14, 81, 78, 56, 39, 26, 20]",384,120,2,20
121,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[70, 54, 17, 13, 10, 69, 95, 97, 29, 75]",529,121,2,36
122,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[79, 69, 95, 32, 78, 52, 59, 86, 14, 77]",641,122,2,36
123,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[75, 32, 55, 97, 40, 84, 76, 65, 80, 24]",628,123,2,36
124,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[22, 10, 14, 33, 15, 19, 89, 24, 53, 73]",352,124,2,36
125,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[75, 15, 55, 42, 22, 66, 78, 93, 53, 35]",534,125,2,36
126,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[77, 47, 55, 30, 16, 37, 15, 78, 29, 96]",480,126,2,36
127,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[72, 90, 38, 100, 12, 93, 30, 17, 27, 67]",546,127,2,36
128,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[31, 58, 75, 30, 11, 17, 13, 88, 78, 51]",452,128,2,36
129,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[16, 20, 100, 42, 25, 73, 40, 99, 18, 10]",443,129,2,36
130,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[39, 61, 95, 19, 21, 95, 79, 40, 38, 29]",516,130,2,36
131,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[79, 50, 71, 43, 84, 76, 96, 83, 52, 57]",691,131,2,33
132,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[58, 57, 44, 57, 97, 12, 24, 63, 28, 85]",525,132,2,33
133,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[70, 13, 24, 100, 88, 55, 37, 66, 63, 51]",567,133,2,33
134,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[41, 50, 74, 79, 87, 23, 78, 85, 50, 39]",606,134,2,33
135,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[81, 35, 50, 24, 56, 83, 57, 18, 87, 16]",507,135,2,33
136,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[92, 25, 95, 80, 69, 49, 62, 28, 44, 90]",634,136,2,33
137,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[52, 77, 23, 49, 11, 43, 38, 25, 75, 23]",416,137,2,33
138,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[93, 67, 36, 24, 27, 43, 22, 41, 67, 77]",497,138,2,33
139,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[24, 58, 69, 29, 80, 31, 73, 35, 68, 20]",487,139,2,33
140,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[23, 86, 44, 56, 23, 89, 29, 36, 64, 18]",468,140,2,33
141,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[55, 41, 51, 56, 25, 46, 90, 60, 49, 89]",562,141,2,7
142,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[79, 47, 92, 22, 65, 70, 61, 92, 72, 34]",634,142,2,7
143,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[31, 95, 82, 77, 25, 40, 20, 26, 80, 72]",548,143,2,7
144,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[66, 44, 25, 79, 70, 98, 33, 41, 31, 48]",535,144,2,7
145,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[35, 52, 62, 70, 18, 41, 80, 63, 25, 20]",466,145,2,7
146,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[45, 88, 70, 16, 52, 90, 38, 36, 32, 97]",564,146,2,7
147,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[72, 100, 59, 97, 41, 23, 25, 85, 60, 10]",572,147,2,7
148,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[92, 24, 13, 85, 48, 78, 44, 83, 67, 57]",591,148,2,7
149,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[44, 20, 76, 54, 50, 60, 17, 48, 28, 91]",488,149,2,7
150,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[77, 21, 51, 87, 67, 92, 100, 67, 97, 58]",717,150,2,7
151,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[13, 30, 68, 37, 11, 55, 85, 65, 28, 20]",412,151,2,4
152,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[98, 70, 78, 65, 93, 71, 15, 44, 50, 19]",603,152,2,4
153,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[20, 85, 69, 26, 48, 63, 14, 22, 88, 87]",522,153,2,4
154,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[80, 93, 48, 29, 30, 58, 69, 94, 95, 17]",613,154,2,4
155,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[10, 29, 53, 97, 19, 79, 20, 29, 23, 90]",449,155,2,4
156,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[92, 42, 88, 52, 75, 26, 42, 22, 59, 28]",526,156,2,4
157,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[55, 66, 89, 66, 71, 76, 81, 41, 54, 75]",674,157,2,4
158,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[61, 53, 36, 98, 38, 75, 24, 87, 24, 55]",551,158,2,4
159,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[34, 20, 56, 70, 21, 21, 46, 57, 68, 42]",435,159,2,4
160,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[65, 86, 47, 62, 97, 36, 61, 90, 55, 89]",688,160,2,4
161,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[35, 62, 54, 91, 63, 43, 89, 21, 47, 45]",550,161,2,16
162,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[50, 31, 71, 73, 91, 34, 97, 81, 38, 33]",599,162,2,16
163,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[70, 85, 11, 54, 64, 37, 21, 49, 51, 41]",483,163,2,16
164,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[52, 97, 97, 98, 17, 73, 42, 15, 53, 76]",620,164,2,16
165,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[65, 28, 73, 93, 42, 64, 29, 51, 71, 96]",612,165,2,16
166,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[60, 96, 12, 93, 66, 82, 97, 19, 23, 70]",618,166,2,16
167,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[62, 61, 28, 19, 43, 84, 75, 11, 83, 45]",511,167,2,16
168,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[21, 10, 85, 26, 25, 32, 79, 59, 16, 18]",371,168,2,16
169,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[63, 88, 72, 92, 35, 93, 37, 79, 39, 49]",647,169,2,16
170,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[58, 73, 55, 92, 68, 27, 96, 46, 81, 90]",686,170,2,16
171,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[34, 49, 25, 59, 16, 94, 32, 80, 96, 60]",545,171,2,28
172,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[37, 74, 27, 33, 55, 45, 79, 15, 22, 47]",434,172,2,28
173,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[55, 22, 82, 66, 40, 36, 78, 92, 11, 15]",497,173,2,28
174,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[65, 95, 38, 87, 18, 63, 79, 73, 81, 27]",626,174,2,28
175,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[39, 59, 94, 26, 41, 89, 34, 15, 12, 68]",477,175,2,28
176,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[85, 29, 69, 59, 66, 94, 27, 94, 66, 56]",645,176,2,28
177,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[82, 72, 41, 37, 47, 81, 53, 85, 50, 69]",617,177,2,28
178,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[55, 15, 18, 15, 76, 86, 40, 73, 82, 69]",529,178,2,28
179,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[33, 34, 93, 67, 20, 87, 32, 53, 92, 56]",567,179,2,28
180,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[42, 36, 44, 22, 86, 41, 49, 90, 53, 85]",548,180,2,28
181,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[91, 96, 11, 48, 98, 62, 85, 24, 37, 70]",622,181,2,45
182,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[61, 43, 63, 30, 46, 29, 31, 32, 75, 49]",459,182,2,45
183,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[70, 36, 46, 93, 42, 98, 89, 43, 92, 28]",637,183,2,45
184,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[98, 70, 36, 58, 64, 80, 92, 18, 37, 100]",653,184,2,45
185,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[34, 99, 54, 10, 79, 79, 88, 44, 27, 32]",546,185,2,45
186,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[44, 88, 40, 40, 28, 91, 94, 92, 32, 98]",647,186,2,45
187,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[86, 61, 46, 79, 85, 73, 41, 32, 57, 63]",623,187,2,45
188,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[93, 87, 72, 17, 48, 22, 22, 81, 43, 36]",521,188,2,45
189,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[21, 50, 10, 62, 92, 17, 17, 91, 43, 70]",473,189,2,45
190,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[18, 28, 17, 28, 53, 78, 59, 64, 32, 44]",421,190,2,45
