vehicle_id,owner,driver,vehicle_operator,vehicle_type_id,number_plate,fuel_type,vehicle_status
92,Owner_92,Driver_92,5,4,AB-19-AB-7249,Diesel,Available
93,Owner_93,Driver_93,3,1,AB-49-AB-4444,Petrol,In Use
94,Owner_94,Driver_94,4,4,AB-16-AB-1627,Petrol,Under Maintenance
95,Owner_95,Driver_95,1,3,AB-63-AB-6315,Petrol,Under Maintenance
96,Owner_96,Driver_96,7,1,AB-22-AB-5223,Diesel,In Use
97,Owner_97,Driver_97,3,3,AB-52-AB-1596,Diesel,In Use
98,Owner_98,Driver_98,10,5,AB-22-AB-6005,Electric,In Use
99,Owner_99,Driver_99,4,2,AB-64-AB-3392,Diesel,Available
100,Owner_100,Driver_100,8,2,AB-84-AB-7874,Petrol,In Use
101,Owner_101,Driver_101,2,2,AB-30-AB-1023,Petrol,Under Maintenance
102,Owner_102,Driver_102,5,5,AB-80-AB-1255,Electric,Under Maintenance
103,Owner_103,Driver_103,8,1,AB-90-AB-2990,Electric,Available
104,Owner_104,Driver_104,6,1,AB-38-AB-9618,Electric,Available
105,Owner_105,Driver_105,6,4,AB-64-AB-2317,Electric,In Use
106,Owner_106,Driver_106,2,3,AB-58-AB-6434,Diesel,In Use
107,Owner_107,Driver_107,5,3,AB-83-AB-7981,Diesel,Under Maintenance
108,Owner_108,Driver_108,2,5,AB-73-AB-6740,Petrol,In Use
109,Owner_109,Driver_109,10,2,AB-95-AB-8008,Petrol,In Use
110,Owner_110,Driver_110,5,2,AB-31-AB-7486,Electric,Under Maintenance
111,Owner_111,Driver_111,7,3,AB-51-AB-5453,Diesel,Under Maintenance
112,Owner_112,Driver_112,2,4,AB-97-AB-7839,Electric,Under Maintenance
113,Owner_113,Driver_113,1,3,AB-31-AB-1450,Electric,Available
114,Owner_114,Driver_114,2,4,AB-61-AB-3478,Petrol,In Use
115,Owner_115,Driver_115,4,3,AB-84-AB-9459,Petrol,Under Maintenance
116,Owner_116,Driver_116,7,4,AB-58-AB-3281,Diesel,Under Maintenance
117,Owner_117,Driver_117,3,5,AB-21-AB-3013,Electric,Available
118,Owner_118,Driver_118,4,5,AB-30-AB-7383,Petrol,Under Maintenance
119,Owner_119,Driver_119,10,2,AB-92-AB-4673,Electric,Available
120,Owner_120,Driver_120,6,5,AB-45-AB-9355,Petrol,Available
121,Owner_121,Driver_121,4,4,AB-49-AB-4753,Electric,Under Maintenance
122,Owner_122,Driver_122,5,5,AB-77-AB-4275,Electric,In Use
123,Owner_123,Driver_123,8,4,AB-22-AB-6856,Diesel,Available
124,Owner_124,Driver_124,9,3,AB-39-AB-5131,Petrol,Under Maintenance
125,Owner_125,Driver_125,4,2,AB-72-AB-1099,Electric,Under Maintenance
126,Owner_126,Driver_126,3,4,AB-72-AB-6836,Petrol,Under Maintenance
127,Owner_127,Driver_127,9,5,AB-21-AB-6307,Electric,Available
128,Owner_128,Driver_128,7,3,AB-97-AB-3598,Petrol,Under Maintenance
129,Owner_129,Driver_129,5,1,AB-12-AB-1767,Petrol,In Use
130,Owner_130,Driver_130,10,5,AB-22-AB-2479,Electric,Under Maintenance
131,Owner_131,Driver_131,8,2,AB-18-AB-1193,Electric,In Use
132,Owner_132,Driver_132,9,4,AB-50-AB-7399,Petrol,Under Maintenance
133,Owner_133,Driver_133,2,1,AB-13-AB-9165,Petrol,Under Maintenance
134,Owner_134,Driver_134,5,5,AB-47-AB-8581,Diesel,Available
135,Owner_135,Driver_135,5,4,AB-85-AB-3305,Petrol,In Use
136,Owner_136,Driver_136,2,3,AB-59-AB-8407,Diesel,Under Maintenance
137,Owner_137,Driver_137,2,2,AB-84-AB-4217,Diesel,In Use
138,Owner_138,Driver_138,10,2,AB-53-AB-3643,Diesel,Under Maintenance
139,Owner_139,Driver_139,7,2,AB-75-AB-9289,Petrol,Under Maintenance
140,Owner_140,Driver_140,2,2,AB-37-AB-1703,Petrol,Available
141,Owner_141,Driver_141,4,5,AB-19-AB-6154,Diesel,In Use
142,Owner_142,Driver_142,5,2,AB-75-AB-3904,Electric,Available
143,Owner_143,Driver_143,8,1,AB-45-AB-5268,Diesel,Available
144,Owner_144,Driver_144,3,2,AB-54-AB-9991,Electric,In Use
145,Owner_145,Driver_145,4,1,AB-22-AB-9088,Electric,Available
146,Owner_146,Driver_146,10,1,AB-57-AB-9964,Electric,Available
147,Owner_147,Driver_147,4,2,AB-94-AB-3084,Petrol,Under Maintenance
148,Owner_148,Driver_148,1,4,AB-45-AB-9942,Petrol,In Use
149,Owner_149,Driver_149,5,5,AB-67-AB-3467,Petrol,Under Maintenance
150,Owner_150,Driver_150,4,2,AB-23-AB-4751,Electric,Under Maintenance
151,Owner_151,Driver_151,2,4,AB-34-AB-7137,Diesel,In Use
152,Owner_152,Driver_152,1,3,AB-69-AB-5622,Electric,Under Maintenance
153,Owner_153,Driver_153,9,1,AB-28-AB-8894,Electric,Under Maintenance
154,Owner_154,Driver_154,4,3,AB-74-AB-6434,Diesel,In Use
155,Owner_155,Driver_155,8,2,AB-95-AB-7687,Diesel,In Use
156,Owner_156,Driver_156,4,4,AB-46-AB-8674,Petrol,Under Maintenance
157,Owner_157,Driver_157,8,3,AB-22-AB-7533,Diesel,In Use
158,Owner_158,Driver_158,10,4,AB-64-AB-1604,Diesel,In Use
159,Owner_159,Driver_159,6,2,AB-23-AB-6362,Petrol,Under Maintenance
160,Owner_160,Driver_160,7,2,AB-87-AB-7002,Petrol,In Use
161,Owner_161,Driver_161,8,3,AB-99-AB-4133,Petrol,Available
162,Owner_162,Driver_162,7,2,AB-27-AB-4354,Petrol,In Use
163,Owner_163,Driver_163,8,4,AB-44-AB-9570,Electric,Under Maintenance
164,Owner_164,Driver_164,8,4,AB-87-AB-3842,Electric,Available
165,Owner_165,Driver_165,8,1,AB-57-AB-2266,Petrol,In Use
166,Owner_166,Driver_166,1,4,AB-36-AB-7912,Diesel,Available
167,Owner_167,Driver_167,5,4,AB-48-AB-9384,Diesel,In Use
168,Owner_168,Driver_168,1,1,AB-27-AB-9112,Electric,Under Maintenance
169,Owner_169,Driver_169,8,2,AB-38-AB-1024,Petrol,Under Maintenance
170,Owner_170,Driver_170,8,4,AB-74-AB-1162,Diesel,Available
171,Owner_171,Driver_171,7,4,AB-11-AB-3207,Diesel,Available
172,Owner_172,Driver_172,5,3,AB-44-AB-1623,Electric,In Use
173,Owner_173,Driver_173,4,5,AB-13-AB-3144,Petrol,Under Maintenance
174,Owner_174,Driver_174,10,3,AB-19-AB-5869,Petrol,Under Maintenance
175,Owner_175,Driver_175,9,2,AB-28-AB-5551,Electric,Under Maintenance
176,Owner_176,Driver_176,4,3,AB-97-AB-5104,Petrol,Available
177,Owner_177,Driver_177,1,3,AB-73-AB-2393,Diesel,Available
178,Owner_178,Driver_178,6,2,AB-18-AB-8451,Electric,Available
179,Owner_179,Driver_179,8,3,AB-23-AB-3448,Diesel,Available
180,Owner_180,Driver_180,8,3,AB-26-AB-1893,Petrol,In Use
181,Owner_181,Driver_181,3,1,AB-50-AB-7581,Petrol,Under Maintenance
182,Owner_182,Driver_182,10,1,AB-13-AB-3768,Diesel,Available
183,Owner_183,Driver_183,3,2,AB-47-AB-2598,Petrol,Under Maintenance
184,Owner_184,Driver_184,8,5,AB-19-AB-4265,Diesel,In Use
185,Owner_185,Driver_185,8,4,AB-19-AB-2312,Diesel,In Use
186,Owner_186,Driver_186,5,4,AB-68-AB-7805,Diesel,Under Maintenance
187,Owner_187,Driver_187,2,5,AB-30-AB-1981,Diesel,In Use
188,Owner_188,Driver_188,1,2,AB-21-AB-7143,Electric,In Use
189,Owner_189,Driver_189,2,4,AB-24-AB-6657,Diesel,Under Maintenance
190,Owner_190,Driver_190,4,2,AB-53-AB-9194,Electric,Under Maintenance
191,Owner_191,Driver_191,8,4,AB-11-AB-3318,Electric,Under Maintenance
192,Owner_192,Driver_192,1,3,AB-22-AB-9973,Petrol,In Use
193,Owner_193,Driver_193,9,1,AB-68-AB-4250,Petrol,In Use
194,Owner_194,Driver_194,9,5,AB-84-AB-5108,Electric,In Use
195,Owner_195,Driver_195,8,2,AB-33-AB-9516,Petrol,In Use
196,Owner_196,Driver_196,5,4,AB-63-AB-1723,Petrol,Under Maintenance
197,Owner_197,Driver_197,7,3,AB-88-AB-7690,Petrol,Under Maintenance
198,Owner_198,Driver_198,8,1,AB-66-AB-1771,Diesel,In Use
199,Owner_199,Driver_199,1,3,AB-35-AB-3783,Diesel,Under Maintenance
200,Owner_200,Driver_200,3,3,AB-41-AB-5828,Diesel,In Use
201,Owner_201,Driver_201,8,3,AB-54-AB-7382,Electric,Available
202,Owner_202,Driver_202,2,1,AB-33-AB-8028,Diesel,In Use
203,Owner_203,Driver_203,8,5,AB-44-AB-9550,Petrol,Under Maintenance
204,Owner_204,Driver_204,3,4,AB-82-AB-7859,Electric,Available
205,Owner_205,Driver_205,6,2,AB-36-AB-2155,Petrol,Under Maintenance
206,Owner_206,Driver_206,4,2,AB-61-AB-9625,Petrol,In Use
207,Owner_207,Driver_207,2,5,AB-58-AB-3516,Petrol,In Use
208,Owner_208,Driver_208,9,1,AB-82-AB-4425,Petrol,In Use
209,Owner_209,Driver_209,4,5,AB-77-AB-2021,Diesel,In Use
210,Owner_210,Driver_210,5,2,AB-27-AB-9654,Petrol,In Use
211,Owner_211,Driver_211,10,3,AB-65-AB-2017,Petrol,Available
212,Owner_212,Driver_212,6,1,AB-94-AB-5066,Diesel,Under Maintenance
213,Owner_213,Driver_213,6,5,AB-38-AB-4081,Electric,Available
214,Owner_214,Driver_214,3,5,AB-90-AB-5431,Petrol,In Use
215,Owner_215,Driver_215,2,2,AB-17-AB-1760,Petrol,Available
216,Owner_216,Driver_216,3,4,AB-89-AB-3381,Petrol,Available
217,Owner_217,Driver_217,6,2,AB-28-AB-5758,Electric,Under Maintenance
218,Owner_218,Driver_218,2,3,AB-55-AB-4930,Electric,Under Maintenance
219,Owner_219,Driver_219,8,3,AB-38-AB-2033,Diesel,In Use
220,Owner_220,Driver_220,7,1,AB-18-AB-6259,Electric,Under Maintenance
221,Owner_221,Driver_221,2,4,AB-77-AB-1591,Diesel,Available
222,Owner_222,Driver_222,5,5,AB-35-AB-4123,Electric,Available
223,Owner_223,Driver_223,10,2,AB-25-AB-3178,Petrol,Under Maintenance
224,Owner_224,Driver_224,1,3,AB-43-AB-4201,Diesel,Under Maintenance
225,Owner_225,Driver_225,5,1,AB-13-AB-6192,Diesel,Under Maintenance
226,Owner_226,Driver_226,8,1,AB-53-AB-7385,Petrol,In Use
227,Owner_227,Driver_227,7,1,AB-60-AB-7782,Diesel,Available
228,Owner_228,Driver_228,8,1,AB-50-AB-6639,Diesel,Under Maintenance
229,Owner_229,Driver_229,5,4,AB-33-AB-5986,Electric,Available
230,Owner_230,Driver_230,7,2,AB-79-AB-6230,Electric,Available
231,Owner_231,Driver_231,3,2,AB-25-AB-8223,Electric,Under Maintenance
232,Owner_232,Driver_232,7,4,AB-78-AB-2509,Diesel,Under Maintenance
233,Owner_233,Driver_233,8,3,AB-59-AB-3424,Petrol,In Use
234,Owner_234,Driver_234,3,5,AB-80-AB-8692,Diesel,Available
235,Owner_235,Driver_235,6,3,AB-67-AB-9688,Petrol,Available
236,Owner_236,Driver_236,7,1,AB-49-AB-2580,Diesel,Available
237,Owner_237,Driver_237,4,4,AB-10-AB-8597,Electric,Available
238,Owner_238,Driver_238,5,4,AB-59-AB-6696,Petrol,Under Maintenance
239,Owner_239,Driver_239,4,3,AB-78-AB-7968,Diesel,In Use
240,Owner_240,Driver_240,7,3,AB-47-AB-9518,Diesel,In Use
241,Owner_241,Driver_241,5,2,AB-29-AB-4424,Petrol,Under Maintenance
242,Owner_242,Driver_242,1,4,AB-20-AB-9443,Electric,Under Maintenance
243,Owner_243,Driver_243,7,4,AB-95-AB-6842,Petrol,In Use
244,Owner_244,Driver_244,1,5,AB-48-AB-6676,Petrol,Available
245,Owner_245,Driver_245,9,1,AB-20-AB-7539,Petrol,Under Maintenance
246,Owner_246,Driver_246,9,5,AB-66-AB-1068,Diesel,Under Maintenance
247,Owner_247,Driver_247,9,5,AB-42-AB-2873,Electric,Under Maintenance
248,Owner_248,Driver_248,10,4,AB-19-AB-7723,Diesel,Available
249,Owner_249,Driver_249,10,2,AB-59-AB-1067,Diesel,Under Maintenance
250,Owner_250,Driver_250,10,1,AB-19-AB-2767,Diesel,Under Maintenance
251,Owner_251,Driver_251,5,2,AB-86-AB-6187,Electric,Available
252,Owner_252,Driver_252,4,3,AB-55-AB-8677,Petrol,Available
253,Owner_253,Driver_253,6,1,AB-94-AB-3791,Electric,Under Maintenance
254,Owner_254,Driver_254,3,1,AB-80-AB-7255,Diesel,In Use
255,Owner_255,Driver_255,3,3,AB-76-AB-3450,Petrol,Available
256,Owner_256,Driver_256,6,3,AB-15-AB-3684,Diesel,In Use
257,Owner_257,Driver_257,2,3,AB-31-AB-4443,Diesel,Under Maintenance
258,Owner_258,Driver_258,1,5,AB-34-AB-8213,Electric,In Use
259,Owner_259,Driver_259,8,3,AB-76-AB-6197,Petrol,Available
260,Owner_260,Driver_260,7,4,AB-95-AB-6871,Electric,In Use
261,Owner_261,Driver_261,4,1,AB-92-AB-4229,Electric,Available
262,Owner_262,Driver_262,8,1,AB-41-AB-2853,Electric,Under Maintenance
263,Owner_263,Driver_263,9,5,AB-22-AB-4407,Electric,Under Maintenance
264,Owner_264,Driver_264,7,3,AB-85-AB-2501,Electric,In Use
265,Owner_265,Driver_265,5,4,AB-59-AB-4270,Petrol,Under Maintenance
266,Owner_266,Driver_266,4,1,AB-17-AB-9658,Petrol,In Use
267,Owner_267,Driver_267,7,4,AB-31-AB-4738,Diesel,Under Maintenance
268,Owner_268,Driver_268,5,1,AB-30-AB-4972,Petrol,In Use
269,Owner_269,Driver_269,7,4,AB-30-AB-9653,Petrol,Under Maintenance
270,Owner_270,Driver_270,10,2,AB-44-AB-1934,Diesel,In Use
271,Owner_271,Driver_271,8,1,AB-43-AB-8508,Petrol,Available
272,Owner_272,Driver_272,9,3,AB-95-AB-3333,Electric,In Use
273,Owner_273,Driver_273,8,4,AB-71-AB-3377,Electric,Available
274,Owner_274,Driver_274,8,3,AB-87-AB-4135,Diesel,Under Maintenance
275,Owner_275,Driver_275,1,4,AB-42-AB-4914,Petrol,In Use
276,Owner_276,Driver_276,6,1,AB-41-AB-9561,Diesel,Available
277,Owner_277,Driver_277,6,3,AB-45-AB-4076,Diesel,Available
278,Owner_278,Driver_278,3,3,AB-91-AB-5405,Electric,Under Maintenance
279,Owner_279,Driver_279,3,1,AB-53-AB-2901,Diesel,Available
280,Owner_280,Driver_280,1,2,AB-54-AB-1574,Petrol,Available
281,Owner_281,Driver_281,1,5,AB-49-AB-6654,Petrol,Available
282,Owner_282,Driver_282,4,3,AB-86-AB-3764,Electric,In Use
283,Owner_283,Driver_283,6,3,AB-81-AB-7665,Diesel,In Use
284,Owner_284,Driver_284,9,2,AB-95-AB-9762,Diesel,Under Maintenance
285,Owner_285,Driver_285,4,2,AB-48-AB-7659,Diesel,Available
286,Owner_286,Driver_286,1,3,AB-63-AB-6002,Petrol,Available
287,Owner_287,Driver_287,8,2,AB-23-AB-5192,Petrol,Available
288,Owner_288,Driver_288,9,1,AB-33-AB-6197,Electric,In Use
289,Owner_289,Driver_289,1,1,AB-96-AB-8786,Diesel,Available
290,Owner_290,Driver_290,8,1,AB-78-AB-1540,Diesel,In Use
291,Owner_291,Driver_291,10,1,AB-64-AB-6833,Petrol,Available
292,Owner_292,Driver_292,4,1,AB-89-AB-7952,Electric,In Use
293,Owner_293,Driver_293,1,3,AB-93-AB-8028,Petrol,Available
294,Owner_294,Driver_294,7,3,AB-28-AB-6332,Diesel,Available
295,Owner_295,Driver_295,2,1,AB-98-AB-1444,Petrol,Under Maintenance
296,Owner_296,Driver_296,7,1,AB-89-AB-1094,Electric,Under Maintenance
297,Owner_297,Driver_297,4,2,AB-65-AB-2823,Electric,Available
298,Owner_298,Driver_298,8,1,AB-85-AB-4971,Electric,Available
299,Owner_299,Driver_299,2,5,AB-11-AB-1042,Petrol,Available
300,Owner_300,Driver_300,5,4,AB-10-AB-5810,Electric,Available
301,Owner_301,Driver_301,4,2,AB-18-AB-6201,Electric,In Use
302,Owner_302,Driver_302,9,5,AB-74-AB-8223,Petrol,Available
303,Owner_303,Driver_303,1,3,AB-94-AB-4715,Diesel,In Use
304,Owner_304,Driver_304,10,5,AB-98-AB-2452,Diesel,In Use
305,Owner_305,Driver_305,10,1,AB-95-AB-5500,Electric,Under Maintenance
306,Owner_306,Driver_306,10,2,AB-23-AB-3649,Petrol,In Use
307,Owner_307,Driver_307,9,5,AB-69-AB-2315,Electric,In Use
308,Owner_308,Driver_308,3,4,AB-44-AB-9908,Diesel,Available
309,Owner_309,Driver_309,5,5,AB-32-AB-8303,Electric,Under Maintenance
310,Owner_310,Driver_310,10,4,AB-52-AB-7898,Electric,In Use
311,Owner_311,Driver_311,1,4,AB-55-AB-5094,Petrol,Under Maintenance
312,Owner_312,Driver_312,4,3,AB-29-AB-1199,Petrol,In Use
313,Owner_313,Driver_313,4,2,AB-79-AB-1167,Diesel,Available
314,Owner_314,Driver_314,10,1,AB-58-AB-9554,Diesel,Available
315,Owner_315,Driver_315,4,1,AB-17-AB-5369,Petrol,Available
316,Owner_316,Driver_316,10,5,AB-16-AB-4142,Electric,In Use
317,Owner_317,Driver_317,7,5,AB-20-AB-5376,Diesel,Under Maintenance
318,Owner_318,Driver_318,5,5,AB-91-AB-2007,Diesel,In Use
319,Owner_319,Driver_319,4,4,AB-79-AB-1132,Petrol,Under Maintenance
320,Owner_320,Driver_320,5,2,AB-93-AB-8837,Diesel,In Use
321,Owner_321,Driver_321,2,2,AB-83-AB-2932,Diesel,In Use
322,Owner_322,Driver_322,6,2,AB-46-AB-8118,Petrol,Under Maintenance
323,Owner_323,Driver_323,7,2,AB-34-AB-2946,Electric,Available
324,Owner_324,Driver_324,1,1,AB-80-AB-7598,Petrol,In Use
325,Owner_325,Driver_325,3,4,AB-15-AB-4752,Electric,In Use
326,Owner_326,Driver_326,3,5,AB-80-AB-6140,Diesel,Under Maintenance
327,Owner_327,Driver_327,1,2,AB-84-AB-9900,Petrol,Available
328,Owner_328,Driver_328,2,5,AB-98-AB-8951,Petrol,Under Maintenance
329,Owner_329,Driver_329,4,5,AB-19-AB-2127,Diesel,Available
330,Owner_330,Driver_330,3,4,AB-73-AB-7342,Diesel,In Use
331,Owner_331,Driver_331,1,2,AB-87-AB-7630,Diesel,Available
332,Owner_332,Driver_332,10,3,AB-63-AB-4098,Petrol,Under Maintenance
333,Owner_333,Driver_333,6,2,AB-47-AB-1266,Electric,Available
334,Owner_334,Driver_334,5,2,AB-37-AB-3531,Diesel,Under Maintenance
335,Owner_335,Driver_335,4,2,AB-34-AB-1497,Petrol,In Use
336,Owner_336,Driver_336,6,4,AB-23-AB-4768,Petrol,Available
337,Owner_337,Driver_337,6,3,AB-29-AB-5801,Petrol,Available
338,Owner_338,Driver_338,1,2,AB-46-AB-1405,Diesel,Under Maintenance
339,Owner_339,Driver_339,3,5,AB-65-AB-5026,Diesel,In Use
340,Owner_340,Driver_340,3,2,AB-80-AB-8540,Electric,In Use
341,Owner_341,Driver_341,2,3,AB-49-AB-3696,Electric,In Use
342,Owner_342,Driver_342,4,3,AB-90-AB-4482,Electric,Available
343,Owner_343,Driver_343,8,2,AB-30-AB-5164,Electric,Under Maintenance
344,Owner_344,Driver_344,3,5,AB-13-AB-4918,Electric,In Use
345,Owner_345,Driver_345,1,1,AB-47-AB-9527,Diesel,Under Maintenance
346,Owner_346,Driver_346,3,1,AB-28-AB-8713,Petrol,Under Maintenance
347,Owner_347,Driver_347,10,5,AB-71-AB-8688,Petrol,Available
348,Owner_348,Driver_348,7,1,AB-42-AB-7058,Petrol,In Use
349,Owner_349,Driver_349,2,4,AB-21-AB-4418,Petrol,Available
350,Owner_350,Driver_350,3,1,AB-72-AB-1904,Diesel,Under Maintenance
351,Owner_351,Driver_351,5,2,AB-46-AB-1283,Petrol,Under Maintenance
352,Owner_352,Driver_352,3,5,AB-46-AB-7769,Electric,Under Maintenance
353,Owner_353,Driver_353,9,1,AB-57-AB-4839,Electric,Available
354,Owner_354,Driver_354,9,2,AB-61-AB-5305,Diesel,Under Maintenance
355,Owner_355,Driver_355,8,5,AB-47-AB-4355,Diesel,In Use
356,Owner_356,Driver_356,2,3,AB-66-AB-4370,Electric,Under Maintenance
357,Owner_357,Driver_357,9,3,AB-81-AB-5998,Electric,Under Maintenance
358,Owner_358,Driver_358,8,4,AB-53-AB-1286,Petrol,Available
